nama_variabel,jenis_kelamin,tahun,persen,provinsi
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,2.73,BALI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,7.79,NUSA TENGGARA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,4.99,NUSA TENGGARA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,3.71,KALIMANTAN BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.34,KALIMANTAN TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.81,KALIMANTAN SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.54,KALIMANTAN TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,2.23,KALIMANTAN UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.27,SULAWESI UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,1.23,SULAWESI TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,5.49,SULAWESI SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,2.78,SULAWESI TENGGARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,1.25,GORONTALO
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,4.65,SULAWESI BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.33,MALUKU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,0.75,MALUKU UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,1.67,PAPUA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,16.26,PAPUA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Laki-Laki,2020,2.32,INDONESIA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,2.2934278819369,ACEH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.1473480374364,SUMATERA UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.0112758632863,SUMATERA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.0088074941872,RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,2.5082941373116,JAMBI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.5487846340377,SUMATERA SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,2.8296480173262,BENGKULU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,3.8362707556316,LAMPUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,2.5749782263524,KEP. BANGKA BELITUNG
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.0413192541096,KEP. RIAU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,0.39464762164209,DKI JAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.8921620952906,JAWA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,8.2762891858242,JAWA TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,7.2325006101107,DI YOGYAKARTA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,9.568919121596,JAWA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,3.3119073505341,BANTEN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,7.5683881954258,BALI
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,14.748906459473,NUSA TENGGARA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,7.0096930839567,NUSA TENGGARA TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,8.7571647327365,KALIMANTAN BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.0142200047713,KALIMANTAN TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,2.0224542871467,KALIMANTAN SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.1366354384763,KALIMANTAN TIMUR
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,4.225992172939,KALIMANTAN UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,0.16760987424178,SULAWESI UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.9396600648525,SULAWESI TENGAH
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,8.1754938259085,SULAWESI SELATAN
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,6.114548446114,SULAWESI TENGGARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.2991098866653,GORONTALO
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,6.6751293880463,SULAWESI BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,0.64405341984985,MALUKU
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,1.4765844533433,MALUKU UTARA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,3.1474292768249,PAPUA BARAT
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,25.009114411288,PAPUA
Penduduk Berumur 10 Tahun ke Atas yang Buta Huruf,Perempuan,2019,5.1172953103878,INDONESIA
