nama_variabel,jenis_kelamin,tahun,angka,provinsi
Angka Harapan Lama Sekolah,Perempuan,2019,12.61,SUMATERA SELATAN
Angka Harapan Lama Sekolah,Perempuan,2019,13.99,BENGKULU
Angka Harapan Lama Sekolah,Perempuan,2019,12.87,LAMPUNG
Angka Harapan Lama Sekolah,Perempuan,2019,12.13,KEP. BANGKA BELITUNG
Angka Harapan Lama Sekolah,Perempuan,2019,12.9,KEPULAUAN RIAU
Angka Harapan Lama Sekolah,Perempuan,2019,12.93,DKI JAKARTA
Angka Harapan Lama Sekolah,Perempuan,2019,12.55,JAWA BARAT
Angka Harapan Lama Sekolah,Perempuan,2019,12.66,JAWA TENGAH
Angka Harapan Lama Sekolah,Perempuan,2019,15.62,D I YOGYAKARTA
Angka Harapan Lama Sekolah,Perempuan,2019,13.15,JAWA TIMUR
Angka Harapan Lama Sekolah,Perempuan,2019,12.98,BANTEN
Angka Harapan Lama Sekolah,Perempuan,2019,13.22,BALI
Angka Harapan Lama Sekolah,Perempuan,2019,13.38,NUSA TENGGARA BARAT
Angka Harapan Lama Sekolah,Perempuan,2019,13.28,NUSA TENGGARA TIMUR
Angka Harapan Lama Sekolah,Perempuan,2019,12.72,KALIMANTAN BARAT
Angka Harapan Lama Sekolah,Perempuan,2019,12.65,KALIMANTAN TENGAH
Angka Harapan Lama Sekolah,Perempuan,2019,12.51,KALIMANTAN SELATAN
Angka Harapan Lama Sekolah,Perempuan,2019,13.86,KALIMANTAN TIMUR
Angka Harapan Lama Sekolah,Perempuan,2019,13.24,KALIMANTAN UTARA
Angka Harapan Lama Sekolah,Perempuan,2019,13.06,SULAWESI UTARA
Angka Harapan Lama Sekolah,Perempuan,2019,13.5,SULAWESI TENGAH
Angka Harapan Lama Sekolah,Perempuan,2019,13.73,SULAWESI SELATAN
Angka Harapan Lama Sekolah,Perempuan,2019,13.7,SULAWESI TENGGARA
Angka Harapan Lama Sekolah,Perempuan,2019,13.54,GORONTALO
Angka Harapan Lama Sekolah,Perempuan,2019,12.98,SULAWESI BARAT
Angka Harapan Lama Sekolah,Perempuan,2019,14.27,MALUKU
Angka Harapan Lama Sekolah,Perempuan,2019,13.63,MALUKU UTARA
Angka Harapan Lama Sekolah,Perempuan,2019,12.41,PAPUA BARAT
Angka Harapan Lama Sekolah,Perempuan,2019,10.72,PAPUA
Angka Harapan Lama Sekolah,Perempuan,2019,13.03,INDONESIA
Angka Harapan Lama Sekolah,Laki-laki,2019,14.19,ACEH
Angka Harapan Lama Sekolah,Laki-laki,2019,12.97,SUMATERA UTARA
Angka Harapan Lama Sekolah,Laki-laki,2019,13.68,SUMATERA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2019,12.99,RIAU
Angka Harapan Lama Sekolah,Laki-laki,2019,12.88,JAMBI
Angka Harapan Lama Sekolah,Laki-laki,2019,12.32,SUMATERA SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2019,13.38,BENGKULU
Angka Harapan Lama Sekolah,Laki-laki,2019,12.43,LAMPUNG
Angka Harapan Lama Sekolah,Laki-laki,2019,11.78,KEP. BANGKA BELITUNG
Angka Harapan Lama Sekolah,Laki-laki,2019,12.83,KEPULAUAN RIAU
Angka Harapan Lama Sekolah,Laki-laki,2019,13,DKI JAKARTA
Angka Harapan Lama Sekolah,Laki-laki,2019,12.45,JAWA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2019,12.69,JAWA TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2019,15.58,D I YOGYAKARTA
Angka Harapan Lama Sekolah,Laki-laki,2019,13.23,JAWA TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2019,12.82,BANTEN
Angka Harapan Lama Sekolah,Laki-laki,2019,13.38,BALI
Angka Harapan Lama Sekolah,Laki-laki,2019,13.71,NUSA TENGGARA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2019,13.07,NUSA TENGGARA TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2019,12.56,KALIMANTAN BARAT
Angka Harapan Lama Sekolah,Laki-laki,2019,12.57,KALIMANTAN TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2019,12.7,KALIMANTAN SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2019,13.68,KALIMANTAN TIMUR
Angka Harapan Lama Sekolah,Laki-laki,2019,12.83,KALIMANTAN UTARA
Angka Harapan Lama Sekolah,Laki-laki,2019,12.58,SULAWESI UTARA
Angka Harapan Lama Sekolah,Laki-laki,2019,12.95,SULAWESI TENGAH
Angka Harapan Lama Sekolah,Laki-laki,2019,13.03,SULAWESI SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2019,13.49,SULAWESI TENGGARA
Angka Harapan Lama Sekolah,Laki-laki,2019,12.78,GORONTALO
Angka Harapan Lama Sekolah,Laki-laki,2019,12.46,SULAWESI BARAT
Angka Harapan Lama Sekolah,Laki-laki,2019,13.73,MALUKU
Angka Harapan Lama Sekolah,Laki-laki,2019,13.71,MALUKU UTARA
Angka Harapan Lama Sekolah,Laki-laki,2019,13.39,PAPUA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2019,11.29,PAPUA
Angka Harapan Lama Sekolah,Laki-laki,2019,12.87,INDONESIA
Angka Harapan Lama Sekolah,Perempuan,2018,14.46,ACEH
Angka Harapan Lama Sekolah,Perempuan,2018,13.37,SUMATERA UTARA
Angka Harapan Lama Sekolah,Perempuan,2018,14.39,SUMATERA BARAT
Angka Harapan Lama Sekolah,Perempuan,2018,13.26,RIAU
Angka Harapan Lama Sekolah,Perempuan,2018,13.15,JAMBI
Angka Harapan Lama Sekolah,Perempuan,2018,12.6,SUMATERA SELATAN
Angka Harapan Lama Sekolah,Perempuan,2018,13.98,BENGKULU
Angka Harapan Lama Sekolah,Perempuan,2018,12.86,LAMPUNG
Angka Harapan Lama Sekolah,Perempuan,2018,12.11,KEP. BANGKA BELITUNG
Angka Harapan Lama Sekolah,Perempuan,2018,12.89,KEPULAUAN RIAU
Angka Harapan Lama Sekolah,Perempuan,2018,12.91,DKI JAKARTA
Angka Harapan Lama Sekolah,Perempuan,2018,12.52,JAWA BARAT
Angka Harapan Lama Sekolah,Perempuan,2018,12.64,JAWA TENGAH
Angka Harapan Lama Sekolah,Perempuan,2018,15.61,D I YOGYAKARTA
Angka Harapan Lama Sekolah,Perempuan,2018,13.07,JAWA TIMUR
Angka Harapan Lama Sekolah,Perempuan,2018,12.9,BANTEN
Angka Harapan Lama Sekolah,Perempuan,2018,13.21,BALI
Angka Harapan Lama Sekolah,Perempuan,2018,13.37,NUSA TENGGARA BARAT
Angka Harapan Lama Sekolah,Perempuan,2018,13.2,NUSA TENGGARA TIMUR
Angka Harapan Lama Sekolah,Perempuan,2018,12.69,KALIMANTAN BARAT
Angka Harapan Lama Sekolah,Perempuan,2018,12.64,KALIMANTAN TENGAH
Angka Harapan Lama Sekolah,Perempuan,2018,12.43,KALIMANTAN SELATAN
Angka Harapan Lama Sekolah,Perempuan,2018,13.68,KALIMANTAN TIMUR
Angka Harapan Lama Sekolah,Perempuan,2018,13.22,KALIMANTAN UTARA
Angka Harapan Lama Sekolah,Perempuan,2018,13.05,SULAWESI UTARA
Angka Harapan Lama Sekolah,Perempuan,2018,13.49,SULAWESI TENGAH
Angka Harapan Lama Sekolah,Perempuan,2018,13.72,SULAWESI SELATAN
Angka Harapan Lama Sekolah,Perempuan,2018,13.55,SULAWESI TENGGARA
Angka Harapan Lama Sekolah,Perempuan,2018,13.51,GORONTALO
Angka Harapan Lama Sekolah,Perempuan,2018,12.97,SULAWESI BARAT
Angka Harapan Lama Sekolah,Perempuan,2018,14.26,MALUKU
Angka Harapan Lama Sekolah,Perempuan,2018,13.6,MALUKU UTARA
Angka Harapan Lama Sekolah,Perempuan,2018,12.14,PAPUA BARAT
Angka Harapan Lama Sekolah,Perempuan,2018,10.54,PAPUA
Angka Harapan Lama Sekolah,Perempuan,2018,12.99,INDONESIA
Angka Harapan Lama Sekolah,Laki-laki,2018,14.1,ACEH
Angka Harapan Lama Sekolah,Laki-laki,2018,12.96,SUMATERA UTARA
Angka Harapan Lama Sekolah,Laki-laki,2018,13.62,SUMATERA BARAT
Angka Harapan Lama Sekolah,Laki-laki,2018,12.98,RIAU
Angka Harapan Lama Sekolah,Laki-laki,2018,12.73,JAMBI
Angka Harapan Lama Sekolah,Laki-laki,2018,12.19,SUMATERA SELATAN
Angka Harapan Lama Sekolah,Laki-laki,2018,13.3,BENGKULU
Angka Harapan Lama Sekolah,Laki-laki,2018,12.38,LAMPUNG
